Date,Actual_Volatility
2023-03-23,2.3855366038062704
2023-03-24,0.5885513691905921
2023-03-27,1.5097478869044785
2023-03-28,1.0191690210182351
2023-03-29,0.3199215031879452
2023-03-30,0.7196500323830661
2023-03-31,0.5722573380642285
2023-04-03,0.7538817015696077
2023-04-04,1.9121386856435452
2023-04-05,0.0643034706267317
2023-04-06,0.4463407474970126
2023-04-10,1.1397298492928634
2023-04-11,0.7862066660321816
2023-04-12,0.3038065675472636
2023-04-13,1.5004488526765063
2023-04-14,1.9340332101503832
2023-04-17,0.4003608688523414
2023-04-18,0.6597421632108531
2023-04-19,0.6096093088757149
2023-04-21,1.4095679073773075
2023-04-24,0.4837975290905525
2023-04-25,0.2460408684692785
2023-04-26,0.4171199318677286
2023-04-27,0.2112926265503246
2023-04-28,0.0100477975901019
2023-05-01,0.3372320383288464
2023-05-02,1.5459208663897124
2023-05-03,0.7074123181844181
2023-05-04,0.9517819252434988
2023-05-05,1.50541414369174
2023-05-08,0.440192824598679
2023-05-09,0.4873807724603167
2023-05-10,0.2803233566718522
2023-05-11,0.7811791440417504
2023-05-12,0.0099251054533082
2023-05-15,0.1735896282152275
2023-05-16,1.4776614414791789
2023-05-17,0.3880014587498261
2023-05-18,1.2293130260797065
2023-05-19,1.1282876071055623
2023-05-22,0.1972886611210169
2023-05-23,0.1216064382496189
2023-05-24,0.4879037635297988
2023-05-30,0.7124411621889729
2023-05-31,0.3008760462139833
2023-06-01,0.7153928630061794
2023-06-02,1.3026835665023309
2023-06-05,0.2864146572821607
2023-06-06,0.3823121771459306
2023-06-07,1.1667932951336448
2023-06-08,1.0700777840001092
2023-06-09,0.0713242905666815
2023-06-12,0.3522608540493114
2023-06-13,0.5487371483662417
2023-06-14,0.5487371483662364
2023-06-15,0.1277759463212647
2023-06-16,0.0306407016705376
2023-06-20,1.1762134766634988
2023-06-21,0.1137278422884502
2023-06-23,0.3340482534468814
2023-06-26,0.2394076127153564
2023-06-27,0.5055096516834761
2023-06-28,0.0888561410255391
2023-06-29,0.1622451046078489
2023-06-30,0.6213645369454395
2023-07-03,0.0312259603543151
2023-07-06,0.5694461811811972
2023-07-07,0.9126768323334932
2023-07-10,0.0623157055421522
2023-07-11,0.3267408839185718
2023-07-12,1.2810414334619995
2023-07-13,0.1532410819786124
2023-07-14,0.0459278160234018
2023-07-17,0.3936082358076451
2023-07-18,1.2622280219577664
2023-07-19,0.0151742904597291
2023-07-20,0.4663169815610156
2023-07-21,0.2034278228194697
2023-07-24,0.2038424953129538
2023-07-25,0.0917768138358643
2023-07-26,0.3459707764402434
2023-07-27,1.2007399562659369
2023-07-28,0.7680922504028945
2023-07-31,0.5138771146053185
2023-08-01,1.5238610077067491
2023-08-02,0.1701826964249552
2023-08-03,0.2791144821277962
2023-08-04,0.3926017871570145
2023-08-07,0.3149921596681774
2023-08-08,0.4873518808943379
2023-08-09,0.4531822404694159
2023-08-10,0.0522220486697309
2023-08-11,0.0783842425555493
2023-08-14,0.1203111863770946
2023-08-16,0.3369678571619132
2023-08-17,0.634889183821112
2023-08-18,0.1060951786910589
2023-08-21,0.3810171935338446
2023-08-22,0.1636000853602539
2023-08-23,1.1586265785144558
2023-08-24,0.0156409848335913
2023-08-25,0.3708241118610018
2023-08-28,0.3551870450310163
2023-08-29,0.9651369784435556
2023-08-30,0.4019820260445598
2023-08-31,0.3142358107314131
2023-09-01,0.082521802323536
2023-09-05,0.703577535386759
2023-09-06,0.4214024777917077
2023-09-07,0.0312845757977861
2023-09-08,0.0469263758101142
2023-09-11,0.2550968049488467
2023-09-12,0.6258821711373876
2023-09-13,0.1151750325271196
2023-09-14,0.0471328028319684
2023-09-15,0.714714748905865
2023-09-18,0.4046513576601789
2023-09-19,0.0258832666127204
2023-09-20,0.7014664451038297
2023-09-21,1.3661993139932882
2023-09-22,0.3225343940292486
2023-09-25,0.4580980852414224
2023-09-26,0.8488367011878772
2023-09-27,1.5270736211994371
2023-09-28,0.6002135474614082
2023-09-29,0.6633460391607215
2023-10-02,0.9842104245885984
2023-10-03,0.2955195304593961
2023-10-04,0.3348786103828984
2023-10-05,0.1045376798357328
2023-10-06,0.7458615173471331
2023-10-09,1.049010847035107
2023-10-10,0.6198645369741984
2023-10-11,0.6320685606708135
2023-10-12,0.1870607909598343
2023-10-13,3.060790174466398
2023-10-16,0.3274031158004244
2023-10-17,0.0832496856667774
2023-10-18,1.6813236521731816
2023-10-20,0.7137632114181282
2023-10-23,0.3132240155776103
2023-10-24,0.0658036018004734
2023-10-25,0.4597000160347398
